tanggal,stasiun,pm25,pm10,so2,co,o3,no2,max,critical,categori
2010-01-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-05,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-06,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-07,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-08,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-09,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-10,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-11,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-12,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-13,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-14,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-15,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-16,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-17,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-18,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-19,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-20,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-21,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-22,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-23,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-24,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-25,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-26,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-27,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-28,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-29,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-30,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-01-31,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-01,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-02,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-03,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
2010-02-04,DKI4 (Lubang Buaya),,,,,,,0.0,,TIDAK ADA DATA
